first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Billy,Gilmour,MID,48,0.2,61,2116,0,3,6,37,8,1,4,354,291.4,481.5,104.0,87.7,2023-24
Pascal,Groß,MID,61,4.1,153,3112,4,11,7,50,6,0,29,724,988.6,1674.9,434.0,309.9,2023-24
João Pedro,Junqueira de Jesus,FWD,52,6.1,104,2037,9,3,5,38,2,0,12,406,622.4,578.8,932.0,213.4,2023-24
Michał,Karbownik,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Kacper,Kozłowski,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Adam,Lallana,MID,49,0.0,30,839,0,1,2,13,2,0,0,95,83.0,248.7,130.0,45.8,2023-24
Tariq,Lamptey,DEF,39,3.6,31,908,0,3,1,20,3,0,0,155,144.6,173.7,60.0,37.6,2023-24
Solly,March,MID,61,2.0,39,555,3,1,2,11,1,0,6,134,197.4,126.5,139.0,46.4,2023-24
Tom,McGill,GK,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
James,Milner,MID,48,0.1,28,770,0,2,4,12,3,0,0,146,152.8,253.5,61.0,46.8,2023-24
Kaoru,Mitoma,MID,64,11.8,74,1485,3,7,1,27,4,0,7,252,327.6,375.1,636.0,134.0,2023-24
Jakub,Moder,MID,44,0.1,21,608,0,0,1,13,2,0,0,89,87.2,82.3,84.0,25.4,2023-24
Jeremy,Sarmiento Morante,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Kjell,Scherpen,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jason,Steele,GK,40,1.7,42,1530,0,0,2,34,0,0,5,300,382.2,0.1,0.0,38.2,2023-24
Deniz,Undav,FWD,55,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Jan Paul,van Hecke,DEF,40,2.1,61,2368,0,0,5,38,4,0,3,454,631.8,176.4,175.0,98.5,2023-24
Joël,Veltman,DEF,43,0.6,49,1579,1,1,3,32,4,0,0,294,320.8,97.8,98.0,51.8,2023-24
Bart,Verbruggen,GK,44,1.2,68,1890,0,0,4,28,3,0,7,417,541.4,1.0,0.0,54.3,2023-24
Adam,Webster,DEF,42,0.3,26,1142,0,0,2,22,2,0,2,212,252.2,89.3,54.0,39.7,2023-24
Danny,Welbeck,FWD,57,1.0,79,1687,5,4,8,28,4,0,5,261,326.2,320.9,492.0,114.0,2023-24
Andi,Zeqiri,FWD,44,0.4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Igor Julio,dos Santos de Paulo,DEF,43,0.2,37,1631,0,0,2,26,4,0,1,311,297.8,135.5,23.0,45.8,2023-24
Jack,Hinshelwood,MID,45,0.0,42,866,3,0,2,17,1,0,5,155,200.2,118.9,230.0,55.0,2023-24
Carlos,Baleba,MID,45,0.0,34,1314,0,0,2,28,7,0,0,174,179.8,134.7,72.0,38.8,2023-24
Anssumane,Fati Vieira,MID,64,0.4,33,509,2,1,1,12,2,0,1,84,121.4,92.1,292.0,50.5,2023-24
Mark,O’Mahony,FWD,45,0.0,2,61,0,0,0,1,1,0,0,5,6.0,1.6,6.0,1.3,2023-24
Benicio,Baker-Boaitey,MID,45,0.0,4,37,0,0,0,1,1,0,0,10,4.6,12.6,4.0,1.9,2023-24
Ben,Jackson,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Joshua,Duffus,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Leigh,Kavanagh,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Luca,Barrington,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Cameron,Peupion,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Valentín,Barco,DEF,40,0.0,5,307,0,0,0,9,1,0,0,33,44.8,69.6,39.0,15.5,2023-24
Samy,Chouchane,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Odeluga,Offiah,DEF,40,0.0,4,126,0,0,0,3,0,0,0,21,6.4,5.5,4.0,1.6,2023-24
Noël,Atom,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Enock,Agyei,MID,42,0.4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Ameen,Al-Dakhil,DEF,38,1.2,19,1055,1,0,0,26,1,0,0,127,193.0,42.8,84.0,32.0,2023-24
Samuel,Bastien,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Manuel Benson,Hedilazio,MID,52,0.1,8,110,0,0,0,5,0,0,0,22,17.6,26.4,30.0,7.5,2023-24
Jordan,Beyer,DEF,39,0.8,30,1234,0,1,2,23,6,0,4,236,330.8,46.1,35.0,41.3,2023-24
