id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
119,João Pedro,Loureiro da Costa,Brighton,2,45,0.0,1.0,1,26,0,0,0,0,0,0,0,0,0,0,0,7,8.2,1.9,18.0,2.8
120,Michael,Svoboda,Brighton,2,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
121,Mitoma,Kaoru,Brighton,3,60,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
122,Yankuba,Minteh,Brighton,3,60,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
123,Jack,Hinshelwood,Brighton,3,60,2.6,16.0,16,63,2,0,1,0,0,0,0,0,0,0,3,54,72.8,13.4,59.0,14.5
124,Pascal,Groß,Brighton,3,55,13.1,2.0,2,90,0,0,1,0,0,0,0,1,0,0,0,18,21.0,56.9,8.0,8.6
125,Georginio,Rutter,Brighton,4,55,1.1,5.0,5,90,0,1,1,0,0,0,0,0,0,0,0,22,19.8,11.4,15.0,4.6
126,Matt,O'Riley,Brighton,3,55,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
127,Diego,Gómez Amarilla,Brighton,3,50,3.8,6.0,6,85,0,1,1,0,0,0,0,0,0,0,0,27,33.0,25.1,41.0,9.9
128,Facundo,Buonanotte,Brighton,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
129,Yasin,Ayari,Brighton,3,55,0.6,2.0,2,63,0,0,1,0,0,0,0,1,0,0,0,8,0.0,15.0,6.0,1.7
130,Mats,Wieffer,Brighton,2,50,0.4,7.0,7,77,0,0,1,0,0,0,0,0,0,0,1,32,16.6,26.3,6.0,4.9
132,Harry,Howell,Brighton,3,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
133,Tom,Watson,Brighton,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
134,Nehemiah,Oriola,Brighton,3,45,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
135,Zadok,Yohanna,Brighton,3,50,0.1,1.0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.3,0.0,0.2
137,Stefanos,Tzimas,Brighton,4,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
138,Charalampos,Kostoulas,Brighton,4,55,0.2,1.0,1,26,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.4,10.0,0.9
139,Evan,Ferguson,Brighton,4,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
328,Pascal,Struijk,Brighton,2,50,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
504,Luka,Vušković,Brighton,2,50,2.5,6.0,6,90,0,0,1,0,0,0,0,0,0,0,0,19,12.4,4.5,12.0,2.9
594,Promise,David,Brighton,4,60,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
600,Ibrahim,Osman,Brighton,3,50,0.0,1.0,1,12,0,0,0,0,0,0,0,0,0,0,0,7,4.2,15.4,4.0,2.4
605,Malick,Yalcouyé,Brighton,3,45,0.1,1.0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0.6,2.7,0.0,0.3
614,Jaouen,Hadjam,Brighton,2,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40,Morgan,Rogers,Chelsea,3,75,25.9,8.0,8,81,1,0,0,2,0,0,0,0,0,0,1,37,48.8,53.5,29.0,13.1
101,Jordan,Henderson,Chelsea,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
136,Danny,Welbeck,Chelsea,4,60,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
140,Robert,Lynch Sánchez,Chelsea,1,50,2.3,2.0,2,90,0,0,0,2,0,0,0,0,0,4,0,6,21.4,0.0,0.0,2.1
141,Filip,Jörgensen,Chelsea,1,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
142,Reece,James,Chelsea,2,55,10.0,0.0,0,90,0,0,0,2,0,0,0,1,0,0,0,5,23.4,16.8,19.0,5.9
143,Trevoh,Chalobah,Chelsea,2,55,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
144,Malo,Gusto,Chelsea,2,50,1.2,1.0,1,75,0,0,0,2,0,0,0,0,0,0,0,2,7.2,9.8,6.0,2.3
145,Wesley,Fofana,Chelsea,2,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
146,Benoît,Badiashile Mukinayi,Chelsea,2,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
147,Tosin,Adarabioyo,Chelsea,2,45,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
148,Jorrel,Hato,Chelsea,2,45,0.5,1.0,1,64,0,0,0,2,0,0,0,0,0,0,0,5,8.4,12.3,11.0,3.2
149,Levi,Samuels Colwill,Chelsea,2,50,1.5,0.0,0,90,0,0,0,2,0,0,0,1,0,0,0,6,6.0,1.6,7.0,1.5
150,Mamadou,Sarr,Chelsea,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
151,Josh,Acheampong,Chelsea,2,45,0.3,3.0,3,90,0,0,0,2,0,0,0,0,0,0,0,13,33.2,2.2,2.0,3.7
152,Marco,Palestra,Chelsea,2,55,2.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
153,Axel,Disasi,Chelsea,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
